Student ID,Unit Number,Comments,Satisfaction
1,1,This unit is very helpful and informative on topics we haven't previously touched on,5
2,2,"Nothing, waste of time... it is easier just to read the books",5
3,3,"Our supervisor. <> was very responsive, supportive and provided the clarity we needed throughout our assessment.",5
4,4,Having Echo is very helpful for the times that I am unable to attend lectures.,5
5,5,Well structured,5
6,6,"Lecture content, particulary week <> gave about crime and violence/guns as was a hard week in the media and she gave great explanation of gun violence",5
7,1,it was well organised and allowed you to think about what it would be like if you ran your own company,5
8,7,having a video record for this unit is necessary,5
9,8,The concepts of the unit,5
10,9,I appreciate that having the weekly questions to submit really helps with preparation prior to the in class discussion and I feel as though you get more from the subject when you research before the class and can contribute your ideas confidently.,5
11,10,"A very honest, realistic and relevant summary of the main areas and major critiques of <>. <> is massively engaging and <> is super organised and so level-headed - what a great team",5
12,11,The knowledge and examples used to demonstrate the theory content of the course.,5
13,10,"<> understanding and presentation of the material in a sophisticated, but understandle way.",5
14,12,The wiki page was great as you could see the work of other students and compare it with what we had done.,5
15,13,"<>, shes a great tutor",5
16,14,The practical use of <> and <> help usually with explanation which were thorough,5
17,15,<> was by far one of the best teachers I've had at Swinburne. <> was always enthusiastic and looking to engage the students in discussion.  One thing I enjoyed most about this unit was the freedom we had to explore the various topics.,5
18,16,The movies chosen had a great range and depending on the genre of the week it was easy to learn,5
19,17,lectures are sort of good. Definitely better than the previous convener,5
20,10,The content was fascinating.,5
21,18,"Overall pretty good unit, pretty good lectures ect",5
22,19,Labs. But instructors need to be more prepared to answer questions.,5
23,20,"The project in  which we made our own comic and wrote a reflective essay, and the workshop class with <> was fantastic (so were all other interactions with people from the industry)",5
24,21,all good,5
25,22,students can have too much time to discuss with the teacher.,5
26,23,Useful knowledge for technology in real life,5
27,24,doing the labs and practical work in the labs,5
28,25,"The numerous techniques covered by the tutorials, focusing on all the basics of photography such as lighting, movement, scale and colour.",5
29,26,"I really enjoyed this unit overall. I enjoyed the creative freedom and found that it was a good environment to discuss ideas without judgement or negativity. 
I felt supported as a learner and also a writer.",5
30,27,"<> is incredibly good at what <> does, very happy with <> tutelage.",5
30,28,"Lectures are incredibly well put together. Content heavy but every page is necessary, cannot appreciate that enough. All teachers also seemed excited about what they were doing, which helped a lot.",5
31,29,Interesting topics,5
32,30,"Teacher is nice and does give some good one on one advice. However, lectures are useless and not helpful, as well as everything else in this unit. And - NO TECHNICAL HELP.",5
33,11,Lecturer,5
34,31,"The videos, open discussions, group activities and <> encouragement and support.",5
35,32,The practical examples used in class,5
36,32,"I really enjoyed the practical side of the labs of learning how to do some statistics and I found it to be enjoyable and helpful. In class, <> tried to make it as enjoyable as he can for us also which I appreciate.",5
37,33,"Work-shopping in class is always a great way to get feedback from both the tutor and peers. Lectures are always packed with content, demonstrating all the possible things you can focus on in the text analysis.",5
38,34,the scenarios and <> charm and raw charisma,5
39,35,"<> is a very knowledgeable and helpful tutor, who ensures that each student understands the content of this unit extremely well.",5
40,36,Personally I would like to see this unit completely restructured.,5
41,37,The content and topics.,5
42,38,"Good enough, help us to develop real project with industry view and skill.",5
43,8,"This is probably my favourite class this semester. I really like the structure, dividing the course into the two sections, I think it works really effectively. I also just loved the content and the use of examples throughout the lectures.",5
44,39,The freedom of working digitally was a benefit as it helped us complete work at our own pace whilst still meeting deadlines.,5
45,22,I enjoyed the interactive approach the facilitator used to make the class more lively and encourage people to share their views and understanding of the concepts. It was an enriching atmosphere despite the 3 hours sessions - it was never boring or tiring as time was used well in teaching and discussion.,5
