Student ID,Unit Number,Comments,Satisfaction
1,1,This unit is very helpful and informative on topics we haven't previously touched on,5
7,1,it was well organised and allowed you to think about what it would be like if you ran your own company,5
1153,1,<> is a great tutor and lecturer,5
127,1,"A wrap up of some important info regarding practice before graduating. Although the content could be more relevant to interior design, it is a good summary before graduating.",5
1313,1,"well organised, easy work to complete along side our other units. Helpful class to prepare us for the real design world",5
242,1,"I think knowing the important theory in documentation and running my own <> firm. 
I also think its very helpful as I now understand the process of documentation",5
1473,1,This unit taught me how to deal with professionalism...how to deal with clients and designers/contractors. I simply love the content of this unit......,5
1753,1,I found the lectures interesting.,5
1162,1,Overall content was good. Assignment structure was great.,5
1319,1,The information/content covered.,5
1848,1,The works are divided among the weeks so it doesnt take up much time.,5
4137,1,the tutor is friendly and willing to help students with the project.,5
1,1,This unit could probably run in <> semester when students have less work,5
4763,1,worked well and was understanding of all other units we had in our last semester too,5
4824,1,"Overall this unit is well organizsed, I did enjoy it!",5
1153,1,"I feel like I havent learnt anything, as the work was always copying what was in the lecture with our own additional changes. The tasks make sense but we dont go into detail about how to produce them",5
127,1,"*File organisation on blackboard. Same information repeated in multiple docs in confusing ways. Blackboard not used properly.
*Lectures need more clarity and explanation.
*The entire subject is geared towards architecture students and students 'going to work in an architectural office'... but we are all interior designers and I am going to work in an interior design studio. Needs more re-alignment to this.",5
4752,1,i am very satisfied with the unit and i don't think there should be anything to be improved,5
4666,1,Everything is good of this unit.,5
1313,1,clearer instructions on what exactly is due,5
242,1,"Nothing, I think its very well organised and structured",5
1437,1,"My only comment is that I would liked to have been able to do this unit early in the course, even semester 1.",5
1473,1,I m highly highly satisfied with this unit.....no complains or things to be improved. The content is impressive.....the tutor is fabulous...most easy and fun unit for my entire semester.,5
5308,1,"The learning methods. I've heard a lot of people saying that this was a 'dry' subject. Some of the learnings weren't practical, and didn't interest the students enough. Students should have their own brief to choose for the project management unit, so everyone would be doing different thing. Most people just copy-and-paste because the answers were all the same, anyway. If students could choose their own brief, I think it'd be more interesting to see/ do.",5
5319,1,nice   useful,5
1753,1,would have been good to finish the final assignment a week or so earlier to allow more time to focus on capstone.,5
5460,1,Im happy with the organization of the unit.,5
5191,1,"I think the unit is good, only thing is its hard to work with hypotheticals.. maybe move examples on blackboard like a database would be beneficial.",5
1162,1,The deliverables were somewhat unclear - what was asked for in writing didn't always align with verbal communication.,5
3364,1,I think this is a clearly presented unit,5
1319,1,Further discussion of weekly lectures in tutorial sessions to better understand content covered.,5
1331,1,Maybe a little more streamlined uploading of content but overall it was very good,5
5303,1,"Nothing, love the unit <>",5
6489,1,"Overall is good, no comment",5
4137,1,make the project brief is clearer. It is really confusing especially the weekly task that assigned.,5
